step,traffic_pattern,injection_rate,network_load,throughput,avg_latency,network_latency,unstable,congestion_score,hotspot_detected
148,shuffle,0.001774,0.031813,0.03125,42.26,42.06,0,0.2940369807926277,0
149,shuffle,0.001903,0.034,0.033438,43.37,43.16,0,0.2930622728212941,0
150,shuffle,0.00204,0.0365,0.036062,43.1,42.76,0,0.2869062875651153,0
151,shuffle,0.001836,0.031813,0.03125,42.26,42.06,0,0.2940369807926277,0
152,shuffle,0.001727,0.0315,0.030937,42.15,41.95,0,0.294257334704372,0
153,shuffle,0.003064,0.057156,0.056563,44.15,43.69,0,0.2713110531264566,0
154,shuffle,0.002849,0.054344,0.05375,44.14,43.61,0,0.2739258953891656,0
155,shuffle,0.003064,0.057156,0.056563,44.15,43.69,0,0.2713110531264566,0
156,shuffle,0.002834,0.053719,0.053125,44.03,43.5,0,0.27434724327505805,0
157,shuffle,0.003032,0.056531,0.055938,42.99,42.52,0,0.27013652510755526,0
158,shuffle,0.002744,0.05275,0.052187,44.38,43.84,0,0.2752849499378866,0
159,shuffle,0.00412,0.073641,0.072844,46.4,45.47,0,0.2624949894983595,0
160,shuffle,0.004254,0.078016,0.077219,47.81,47.02,0,0.2607452409744718,0
161,shuffle,0.003789,0.066219,0.065578,44.22,43.52,0,0.2638792637549596,0
162,shuffle,0.003809,0.066844,0.066203,43.92,43.32,0,0.2628689317018343,0
163,shuffle,0.004101,0.073328,0.072531,46.41,45.52,0,0.2627898888378489,0
164,shuffle,0.003739,0.066219,0.065578,44.22,43.52,0,0.2638792637549596,0
165,shuffle,0.004731,0.086953,0.085203,50.1,49.06,0,0.2661719666912853,0
166,shuffle,0.005103,0.096016,0.094,50.07,49.29,0,0.26004445705957996,0
167,shuffle,0.004966,0.092531,0.090563,49.64,48.5,0,0.26227415341044424,0
168,shuffle,0.004865,0.090391,0.088672,49.58,48.48,0,0.2617960756646764,0
169,shuffle,0.00479,0.089141,0.087422,48.54,47.67,0,0.26141038219685303,0
170,shuffle,0.005169,0.097219,0.095328,51.91,50.92,0,0.26052780329989517,0
